Age,mortality_rate
1,0.003546770936721730
2,0.000337297013214739
3,0.000240231075476493
4,0.000180437139263024
5,0.000157663891994917
6,0.000147437969758577
7,0.000138140608640407
8,0.000128604889199492
9,0.000126277268360864
10,0.000125003605844981
11,0.000136966785006353
12,0.000145216405844981
13,0.000161188668360864
14,0.000181000572554003
15,0.000216947962897078
16,0.000262588078271919
17,0.000314557993646760
18,0.000376219947903431
19,0.000423540153494282
20,0.000459423472935197
21,0.000495833771537484
22,0.000520751389580686
23,0.000540449646505718
24,0.000542557563151207
25,0.000545368118678526
26,0.000555857271410419
27,0.000568235154764930
28,0.000582934440914867
29,0.000598800646505718
30,0.000619328311817027
31,0.000649931111817027
32,0.000686744532655654
33,0.000723495254891995
34,0.000769242281321474
35,0.000817135050825921
36,0.000873384184243964
37,0.000949890162134689
38,0.001038917906734430
39,0.001130380015247780
40,0.001225800944599750
41,0.001337018476747140
42,0.001447432844980940
43,0.001573355195171540
44,0.001708926225921220
45,0.001856736620584500
46,0.002014183259720460
47,0.002198574080813210
48,0.002410505665819570
49,0.002635103755019060
50,0.002881213865057180
51,0.003145021744599750
52,0.003448722881067340
53,0.003795397796696320
54,0.004177706091486660
55,0.004613094558322740
56,0.005105603202795430
57,0.005619987973824650
58,0.006170289212960610
59,0.006775722242439640
60,0.007501002944091490
61,0.008274265176111820
62,0.009043515019313850
63,0.009890589387293520
64,0.010791810686149900
65,0.011794807922490500
66,0.012952460904447300
67,0.014188622256416800
68,0.015503496109021600
69,0.016983421589326600
70,0.018651765124269400
71,0.020562487060737000
72,0.022765758884625200
73,0.025307340269123300
74,0.028334236526048300
75,0.031824836496061000
76,0.035833906505717900
77,0.040464987995425700
78,0.045643336333418000
79,0.051405899271918700
80,0.057695679228970800
81,0.064609670970775100
82,0.072388298796188000
83,0.081128882170521000
84,0.090986516077001300
85,0.101635660771537000
86,0.112763425911817000
87,0.124909652909276000
88,0.138031273429987000
89,0.152489488481576000
90,0.168477753530877000
91,0.184357797808895000
92,0.201507670262262000
93,0.219478184127827000
94,0.238045374494790000
95,0.257966516986277000
96,0.278455403956544000
97,0.300155088866328000
98,0.323126755356036000
99,0.346522915227446000
100,0.370973417379924000
101,0.395587999449504000
102,0.419800497070801000
103,0.444591218407217000
104,0.469815823293062000
105,0.495312205562643000
106,0.520918259050267000
107,0.546659809122897000
108,0.572585316883202000
109,0.598545727109327000
110,0.624392160239136000
111,0.654399119391055000
112,0.684242890662668000
113,0.713886585512681000
114,0.743293842378958000
115,0.772428124039644000
116,0.801413797576824000
117,0.830399471114003000
118,0.859385144651182000
119,0.888370818188361000
120,1.000000000000000000
